x,y
10,26.65883878
10.40133779,27.30643535
10.84280936,22.13241017
11.24414716,21.1698405
11.64548495,15.19263352
12.08695652,26.39895104
12.48829431,17.43530658
12.88963211,25.50788523
13.2909699,36.88459469
13.73244147,39.66610875
14.13377926,34.39628056
14.53511706,41.49799354
14.97658863,44.98157487
15.37792642,47.03959526
15.77926421,48.25257829
16.22073579,57.03425134
16.62207358,51.49091921
17.02341137,61.33662055
17.46488294,57.58198818
17.86622074,68.55371402
18.26755853,64.3109253
18.7090301,68.95900864
19.11036789,74.61463928
19.51170569,71.8671953
19.91304348,76.09813538
20.35451505,75.77521803
20.75585284,72.48605532
21.15719064,77.35502057
21.59866221,72.11879045
22,80.2605705
