Region,Direction,District,Eating,Cloth,Living,Life,Comm,Edu,Med,Service
BJ,N,EastD,8064.9,2175.5,14110.3,2371.9,4767.4,3999.4,3274.5,1078.6
TJ,N,EastD,8647.5,1990,6406.3,1818.4,4280.9,3186.6,2676.9,896.3
HB,N,EastD,4271.3,1257.4,4050.4,1138.7,2355.4,1734.5,1540.5,373.8
SX,N,MiddleD,3688.2,1261,3228.5,855.6,1845.2,1940,1635.1,356.4
NMG,N,WestD,5324.3,1751.2,3680,1204.6,3074.3,2245.4,1847.5,537.9
LN,NE,EastD,5727.8,1628.1,4169.5,1259.4,2968.2,2708,2257.1,680.2
JL,NE,MiddleD,4417.4,1397,3294.8,899.4,2479.7,2193.4,2012,506.7
HLJ,NE,MiddleD,4573.2,1405.4,3176.3,886.4,2196.6,2030.3,2235.3,490.4
SH,E,EastD,10728.2,2036.8,14208.5,2095.5,4881.2,5049.4,3070.2,1281.5
JS,E,EastD,6529.8,1541,6731.2,1493.3,3522.8,2582.6,2016.4,590.4
ZJ,E,EastD,8198.3,1813.5,7721.2,1652.4,4302,3031.3,2059.4,692.6
AH,E,MiddleD,5414.7,1137.4,3941.9,1041.2,2082.1,1810.4,1224,392.8
FJ,E,EastD,7572.9,1212.1,6130,1223.1,2923.3,2194,1234.8,505.8
JX,E,MiddleD,4809,1074.1,3795.2,1047.7,1872.1,1813,1000,381
SD,E,EastD,5030.9,1391.8,3928.5,1394.3,2834.3,2174.4,1627.6,398.1
HN,CS,MiddleD,3959.8,1172.8,3512,1054.4,1838,1769.1,1541.5,321
HUB,CS,MiddleD,5491.3,1316.2,4310.6,1253.2,2584.1,2187.5,1907.9,487
HUN,CS,MiddleD,5260,1215.5,3976.1,1190.2,2322.9,2786.2,1705.5,351.5
GD,CS,EastD,8480.8,1135.3,6643.3,1440.8,3423.9,2750.9,1520.8,658.2
GX,CS,WestD,4545.7,616.7,3268.5,898.2,2150.1,1798.9,1364.6,291.9
HAIN,CS,EastD,6552.2,655.9,3744,826.6,1919,2185.5,1236.1,409.2
CQ,SW,WestD,6220.8,1454.5,3498.8,1338.9,2545,2087.8,1660,442.8
SC,SW,WestD,5937.9,1173.8,3368,1182.2,2398.8,1599.7,1568.6,434.5
GZ,SW,WestD,3792.9,934.7,2760.7,878.1,2408,1660,1083.5,280.1
YN,SW,WestD,3983.4,789.1,3081.1,859.9,2212.8,1772.7,1267.7,283.2
XZ,SW,WestD,4330.5,1285.2,2102.6,622.3,1847.7,609.3,460.1,262.6
SHXI,NW,WestD,4292.5,1141.1,3388.2,1200.8,2005.8,2008.8,1749.4,373.2
GS,NW,WestD,4253.3,1111.5,3095,896.9,1640.7,1710.3,1573.9,342.4
QH,NW,WestD,4671.6,1350.6,2990,932,2671.4,1655.6,1842,444
NX,NW,WestD,4234.1,1388.2,3014.3,1067.1,2724.4,2139.5,1727.1,420.4
XJ,NW,WestD,4691.6,1456,2894.3,1082.8,2274.4,1762.5,1592.6,434.9
